LicenseNbr,LicenseAppStatus,DoingBusinessAsName,LicExpirationDate,LicExpirationStatus,AddressFull,AddrStreetNo,AddrStreetDir,AddrStreetName,AddrStreetType,AddrUnit,PrimarilyRestaurant,RetailFoodEstab,RestaurantMobileCart,RestaurantMobileBase,RetailMobileCart,RetailMobileBase,FarmersMarket,RecDate,EstablishmentType,AddrCity,ESRI_OID
LICFDD-2017-00078,Active,Jesus Lunch,2024/06/30 05:00:00+00,Active,"7702 Old Sauk RD
Madison, WI 53717",7702,,Old Sauk,RD,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,Madison,1499
LICFDD-2017-00081,Active,Deforest Knights Of Columbus 6460,2024/06/30 05:00:00+00,Active,"615 JEFFERSON ST
DEFOREST, WI 53532",615,,JEFFERSON,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,DEFOREST,1500
LICFDD-2017-00084,Active,El Wiscorican,2024/06/30 05:00:00+00,Active,"1219 N Sherman AVE
Madison, WI 53704",1219,N,Sherman,AVE,,,,,,,,,2024/02/24 11:00:07+00,Restaurant Mobile Base,Madison,1501
LICFDD-2017-00085,Active,El Wiscorican,2024/06/30 05:00:00+00,Active,"1219 N Sherman AVE
Madison, WI 53704",1219,N,Sherman,AVE,,,,,,,,,2024/02/24 11:00:07+00,Restaurant Mobile Cart,Madison,1502
LICFDD-2017-00088,Active,Guimo's,2024/06/30 05:00:00+00,Active,"126 N BRISTOL ST
SUN PRAIRIE, WI 53590",126,N,BRISTOL,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,SUN PRAIRIE,1503
LICFDD-2017-00089,Active,Danny's Pub,2024/06/30 05:00:00+00,Active,"328 W Gorham ST
Madison, WI 53703",328,W,Gorham,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,Madison,1504
LICFDD-2017-00094,Active,Mad City Chefs,2024/06/30 05:00:00+00,Active,"1200 E VERONA AVE
VERONA, WI 53593",1200,E,VERONA,AVE,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,VERONA,1505
LICFDD-2017-00100,Active,Eno Vino Downtown,2024/06/30 05:00:00+00,Active,"1 N Webster ST
Madison, WI 53703",1,N,Webster,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,Madison,1506
LICFDD-2017-00110,Active,Ac Hotel Madison,2024/06/30 05:00:00+00,Active,"1 N Webster ST
Madison, WI 53703",1,N,Webster,ST,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,Madison,1507
LICFDD-2017-00126,Active,Ogden's North St Diner,2024/06/30 05:00:00+00,Active,"560 North ST
Madison, WI 53704",560,,North,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,Madison,1508
LICFDD-2017-00156,Active,Mad Seafood Boiler,2024/06/30 05:00:00+00,Active,"201 W Gorham ST
Madison, WI 53703",201,W,Gorham,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,Madison,1509
LICFDD-2017-00163,Active,Barriques,2024/06/30 05:00:00+00,Active,"2505 University AVE
Madison, WI 53705",2505,,University,AVE,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,Madison,1510
LICFDD-2017-00171,Active,Dave & Busters,2024/06/30 05:00:00+00,Active,"414 West Towne MALL
Madison, WI 53719",414,,West Towne,MALL,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,Madison,1511
LICFDD-2017-00179,Active,F-n-f,2024/06/30 05:00:00+00,Active,"1219 N Sherman AVE
Madison, WI 53704",1219,N,Sherman,AVE,,,,,,,,,2024/02/24 11:00:07+00,Restaurant Mobile Cart,Madison,1512
LICFDD-2017-00185,Active,Atlantisvalley Foods-ultra Tech,2024/06/30 05:00:00+00,Active,"5901 Research Park BLVD
Madison, WI 53719",5901,,Research Park,BLVD,,,,,,,,,2024/02/24 11:00:07+00,Establisment Type not defined,Madison,1513
LICFDD-2017-00189,Active,Atlantisvalley Foods-tds Trade,2024/06/30 05:00:00+00,Active,"8401 GREENWAY BLVD
Middleton, WI 53562",8401,,GREENWAY,BLVD,,,,,,,,,2024/02/24 11:00:07+00,Establisment Type not defined,Middleton,1514
LICFDD-2017-00192,Active,Atlantisvalley Foods-uw-research,2024/06/30 05:00:00+00,Active,"505 S Rosa RD
Madison, WI 53719",505,S,Rosa,RD,,,,,,,,,2024/02/24 11:00:07+00,Establisment Type not defined,Madison,1515
LICFDD-2017-00202,Active,The Biergarten At Olbrich Park,2024/06/30 05:00:00+00,Active,"3527 Atwood AVE
Madison, WI 53714",3527,,Atwood,AVE,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,Madison,1516
LICFDD-2017-00208,Active,Dunkin Donuts,2024/06/30 05:00:00+00,Active,"1401 Emil ST
Madison, WI 53713",1401,,Emil,ST,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,Madison,1517
LICFDD-2017-00217,Active,Green Acres,2024/06/30 05:00:00+00,Active,"7478 US HIGHWAY 78
SAUK CITY, WI 53583",7478,,US HIGHWAY 78,,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,SAUK CITY,1518
LICFDD-2017-00225,Active,Edo Asian Cuisine,2024/06/30 05:00:00+00,Active,"532 S Park ST
Madison, WI 53715",532,S,Park,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,Madison,1519
LICFDD-2017-00227,Active,Madison Chocolate Company,2024/06/30 05:00:00+00,Active,"729 Glenway ST
Madison, WI 53711",729,,Glenway,ST,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,Madison,1520
LICFDD-2017-00235,Active,Paul's Pelmeni,2024/06/30 05:00:00+00,Active,"414 W GILMAN ST
Madison, WI 53703",513,,State,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,Madison,1521
LICFDD-2017-00243,Active,Monona Parks & Recreation,2024/06/30 05:00:00+00,Active,"400 W BROADWAY
MONONA, WI 53716",400,W,BROADWAY,,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,MONONA,1522
LICFDD-2017-00259,Active,Marshall Boats,2024/06/30 05:00:00+00,Active,"2101 Allen BLVD
Madison, WI 53705",2101,,Allen,BLVD,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,Madison,1523
LICFDD-2017-00271,Active,Cahoots,2024/06/30 05:00:00+00,Active,"102 W RAILROAD ST
VERONA, WI 53593",102,W,RAILROAD,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,VERONA,1524
LICFDD-2017-00272,Active,North Street Cabaret,2024/06/30 05:00:00+00,Active,"610 North ST
Madison, WI 53704",610,,North,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,Madison,1525
LICFDD-2017-00274,Active,Avenue C - 2886 Bud's Dr,2024/06/30 05:00:00+00,Active,"2886 BUDS DR
FITCHBURG, WI 53719",2886,,BUDS,DR,,,,,,,,,2024/02/24 11:00:07+00,Establisment Type not defined,FITCHBURG,1526
LICFDD-2017-00286,Active,Quality Inn,2024/06/30 05:00:00+00,Active,"6900 SEYBOLD RD
MADISON, WI 53719",6900,,SEYBOLD,RD,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,1527
LICFDD-2017-00299,Active,Infusion Chocolates,2024/06/30 05:00:00+00,Active,"2503 Monroe ST
Madison, WI 53711",2503,,Monroe,ST,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,Madison,1528
LICFDD-2017-00304,Active,International Market,2024/06/30 05:00:00+00,Active,"4261 Lien RD R
Madison, WI 53704",4261,,Lien,RD,R,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,Madison,1529
LICFDD-2017-00322,Active,Fit Fresh,2024/06/30 05:00:00+00,Active,"8066 Watts RD
Madison, WI 53719",8066,,Watts,RD,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,Madison,1530
LICFDD-2017-00323,Active,Seminary Springs Tavern,2024/06/30 05:00:00+00,Active,"3191 SEMINARY SPRINGS RD
MADISON, WI 53718",3191,,SEMINARY SPRINGS,RD,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,1531
LICFDD-2017-00325,Active,Avenue C - 726 Heartland Trl,2024/06/30 05:00:00+00,Active,"726 Heartland TRL
Madison, WI 53717",726,,Heartland,TRL,,,,,,,,,2024/02/24 11:00:07+00,Establisment Type not defined,Madison,1532
LICFDD-2017-00335,Active,Dahmen's At Hawks Landing,2024/06/30 05:00:00+00,Active,"66 Hawks Landing CIR
Verona, WI 53593",66,,Hawks Landing,CIR,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,Verona,1533
LICFDD-2017-00352,Active,North & South Seafood & Smokehouse,2024/06/30 05:00:00+00,Active,"605 S MAIN ST
DEFOREST, WI 53532",605,S,MAIN,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,DEFOREST,1534
LICFDD-2017-00369,Active,Staybridge Suites,2024/06/30 05:00:00+00,Active,"2916 HARDROCK RD
FITCHBURG, WI 53719",2916,,HARDROCK,RD,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,FITCHBURG,1535
